tick,mother_id,child_id,r,benefit,cost,success
0,0,1,0.5,0.02,0.03,True
0,2,3,0.5,0.02,0.03,True
0,4,5,0.5,0.02,0.03,True
0,6,7,0.5,0.02,0.03,True
0,12,13,0.5,0.02,0.03,True
0,28,29,0.5,0.02,0.03,True
0,34,3,0.0,0.0,0.03,True
0,42,3,0.0,0.0,0.03,True
0,44,13,0.0,0.0,0.03,True
1,14,11,0.0,0.04,0.03,True
1,16,9,0.0,0.04,0.03,True
1,38,11,0.0,0.0,0.03,True
3,30,57,0.0,0.08,0.03,True
3,52,23,0.0,0.08,0.03,True
6,8,17,0.0,0.14,0.03,True
7,44,13,0.0,0.14,0.03,True
9,6,57,0.0,0.12000000000000001,0.03,True
9,30,57,0.0,0.0,0.03,True
9,44,57,0.0,0.0,0.03,True
11,44,13,0.0,0.08,0.03,True
52,6,13,0.0,0.20000000000000007,0.03,True
52,30,13,0.0,0.2,0.03,True
52,44,13,0.0,0.2,0.03,True
55,0,17,0.0,0.20000000000000007,0.03,True
58,6,57,0.0,0.20000000000000007,0.03,True
58,36,17,0.0,0.19999999999999996,0.03,True
58,46,17,0.0,0.2,0.03,True
59,6,57,0.0,0.19999999999999996,0.03,True
59,28,57,0.0,0.2,0.03,True
63,48,57,0.0,0.2,0.03,True
64,2,17,0.0,0.2,0.03,True
65,2,17,0.0,0.2,0.03,True
66,48,13,0.0,0.2,0.03,True
80,48,57,0.0,0.2,0.03,True
82,48,13,0.0,0.2,0.03,True
90,48,57,0.0,0.2,0.03,True
91,2,13,0.0,0.2,0.03,True
91,8,13,0.0,0.2,0.03,True
96,2,57,0.0,0.2,0.03,True
98,38,17,0.0,0.20000000000000007,0.03,True
98,56,17,0.0,0.2,0.03,True
99,8,57,0.0,0.2,0.03,True
119,12,64,0.0,0.2,0.03,True
120,12,64,0.0,0.2,0.03,True
123,8,65,0.0,0.2,0.03,True
130,2,65,0.0,0.2,0.03,True
131,2,65,0.0,0.2,0.03,True
132,12,64,0.0,0.2,0.03,True
142,12,64,0.0,0.2,0.03,True
143,12,64,0.0,0.07999999999999995,0.03,True
147,12,64,0.0,0.08,0.03,True
148,12,64,0.0,0.02,0.03,True
