tick,mother_id,mother_energy,winner_domain,chosen_child_id,chosen_r,chosen_distress,chosen_distance
0,0,0.9998,care,1,0.5,0.11,1
0,2,0.9998,care,3,0.5,0.11,1
0,4,0.9998,care,5,0.5,0.11,1
0,6,0.9998,care,7,0.5,0.11,1
0,8,0.9998,care,1,0.0,0.11,3
0,10,0.9998,care,5,0.0,0.11,5
0,12,0.9998,care,13,0.5,0.11,1
0,14,0.9998,care,5,0.0,0.11,5
0,16,0.9998,care,1,0.0,0.11,4
0,18,0.9998,care,3,0.0,0.11,4
0,20,0.9998,care,3,0.0,0.11,2
0,22,0.9998,care,3,0.0,0.11,4
0,24,0.9998,care,3,0.0,0.11,5
0,26,0.9998,care,5,0.0,0.11,3
0,28,0.9998,care,29,0.5,0.11,1
0,30,0.9998,care,7,0.0,0.11,2
0,32,0.9998,care,1,0.0,0.11,3
0,34,0.9998,care,3,0.0,0.11,1
0,36,0.9998,care,1,0.0,0.11,4
0,38,0.9998,care,11,0.0,0.11,2
0,40,0.9998,care,3,0.0,0.11,3
0,42,0.9998,care,3,0.0,0.11,0
0,44,0.9998,care,13,0.0,0.11,1
0,46,0.9998,care,1,0.0,0.11,4
0,48,0.9998,care,7,0.0,0.11,5
0,50,0.9998,care,29,0.0,0.11,2
0,52,0.9998,care,3,0.0,0.11,5
0,54,0.9998,care,1,0.0,0.11,5
0,56,0.9998,care,7,0.0,0.11,2
0,58,0.9998,care,7,0.0,0.11,2
1,0,0.9693900000000001,care,9,0.0,0.22,3
1,2,0.9693900000000001,care,25,0.0,0.22,5
1,4,0.9693900000000001,care,11,0.0,0.22,3
1,6,0.9693900000000001,care,57,0.0,0.22,4
1,8,0.9894000000000001,care,9,0.5,0.22,2
1,10,0.9894000000000001,care,11,0.5,0.22,2
1,12,0.9693900000000001,care,49,0.0,0.22,5
1,14,0.9894000000000001,care,11,0.0,0.22,0
1,16,0.9894000000000001,care,9,0.0,0.22,1
1,18,0.9894000000000001,care,25,0.0,0.22,4
1,20,0.9894000000000001,care,23,0.0,0.22,5
1,22,0.9894000000000001,care,11,0.0,0.22,4
1,24,0.9894000000000001,care,11,0.0,0.22,5
1,26,0.9894000000000001,care,11,0.0,0.22,4
