tick,mother_id,child_id,r,benefit,cost,success
0,4,5,0.5,0.02,0.03,True
0,18,19,0.5,0.02,0.03,True
0,0,1,0.5,0.02,0.03,True
0,12,13,0.5,0.02,0.03,True
0,16,13,0.0,0.0,0.03,True
0,6,7,0.5,0.02,0.03,True
1,18,19,0.5,0.02,0.03,True
1,16,17,0.5,0.04,0.03,True
1,4,5,0.5,0.02,0.03,True
1,6,7,0.5,0.02,0.03,True
2,6,7,0.5,0.02,0.03,True
2,18,19,0.5,0.02,0.03,True
2,4,5,0.5,0.02,0.03,True
2,16,13,0.0,0.04,0.03,True
3,6,7,0.5,0.02,0.03,True
3,18,19,0.5,0.02,0.03,True
3,16,13,0.0,0.02,0.03,True
3,4,5,0.5,0.02,0.03,True
3,14,1,0.0,0.06,0.06,True
3,12,17,0.0,0.04,0.05,True
4,0,3,0.0,0.1,0.06,True
4,16,13,0.0,0.02,0.03,True
5,12,13,0.5,0.02,0.04,True
5,2,1,0.0,0.04,0.08,True
6,2,1,0.0,0.02,0.03,True
6,4,5,0.5,0.06,0.04,True
6,18,19,0.5,0.06,0.04,True
7,14,3,0.0,0.06,0.06,True
7,6,7,0.5,0.08,0.04,True
7,2,1,0.0,0.02,0.03,True
8,2,1,0.0,0.02,0.03,True
8,16,13,0.0,0.06,0.04,True
9,10,11,0.5,0.19999999999999998,0.12,True
9,2,1,0.0,0.02,0.03,True
10,16,17,0.5,0.14,0.04,True
10,4,5,0.5,0.08,0.04,True
10,18,19,0.5,0.08,0.04,True
10,2,1,0.0,0.02,0.03,True
11,12,13,0.5,0.06,0.04,True
11,2,1,0.0,0.02,0.03,True
12,2,1,0.0,0.02,0.03,True
12,4,5,0.5,0.04,0.03,True
12,10,11,0.5,0.06,0.04,True
12,18,19,0.5,0.04,0.03,True
12,16,17,0.5,0.04,0.03,True
12,6,7,0.5,0.1,0.05,True
13,18,19,0.5,0.02,0.03,True
13,4,5,0.5,0.02,0.03,True
13,2,1,0.0,0.02,0.03,True
14,8,3,0.0,0.14,0.16999999999999998,True
14,16,13,0.0,0.06,0.04,True
14,2,1,0.0,0.02,0.03,True
14,0,3,0.0,0.0,0.12,True
15,2,1,0.0,0.02,0.03,True
16,4,5,0.5,0.06,0.04,True
16,16,17,0.5,0.08,0.04,True
16,2,1,0.0,0.02,0.03,True
16,12,13,0.5,0.04,0.05,True
17,2,1,0.0,0.02,0.03,True
18,10,11,0.5,0.12000000000000001,0.04,True
18,18,19,0.5,0.1,0.03,True
18,2,1,0.0,0.02,0.03,True
19,4,5,0.5,0.06,0.04,True
19,6,7,0.5,0.14,0.05,True
19,8,9,0.5,0.2,0.07,True
19,0,9,0.0,0.2,0.07,True
19,18,19,0.5,0.02,0.03,True
19,2,1,0.0,0.02,0.03,True
20,18,19,0.5,0.02,0.03,True
21,14,1,0.0,0.04,0.07,True
22,16,13,0.0,0.12000000000000001,0.06,True
22,6,7,0.5,0.06,0.04,True
23,10,5,0.0,0.08,0.07,True
23,18,19,0.5,0.06,0.04,True
24,12,13,0.5,0.04,0.06,True
24,8,3,0.0,0.19999999999999998,0.07,True
24,0,3,0.0,0.0,0.07,True
24,4,5,0.5,0.02,0.05,True
25,14,3,0.0,0.02,0.06,True
26,18,19,0.5,0.06,0.04,True
28,8,15,0.0,0.2,0.06,True
28,10,11,0.5,0.19999999999999998,0.07,True
28,6,7,0.5,0.12000000000000001,0.05,True
29,12,17,0.0,0.2,0.04,True
30,12,17,0.0,0.07999999999999995,0.03,True
31,4,5,0.5,0.14,0.06,True
32,18,19,0.5,0.12000000000000001,0.04,True
33,10,5,0.0,0.04,0.07,True
34,14,1,0.0,0.2,0.09,True
35,18,19,0.5,0.06,0.04,True
37,6,7,0.5,0.18,0.06,True
38,14,3,0.0,0.2,0.06,True
38,10,11,0.5,0.19999999999999998,0.07,True
39,12,13,0.5,0.2,0.07,True
40,18,19,0.5,0.1,0.04,True
40,4,5,0.5,0.14,0.06,True
42,14,15,0.5,0.2,0.06,True
43,18,19,0.5,0.06,0.03,True
44,0,9,0.0,0.2,0.16999999999999998,True
44,2,9,0.0,0.2,0.2,True
45,6,7,0.5,0.16,0.06,True
46,12,17,0.0,0.2,0.06,True
51,0,15,0.0,0.2,0.04,True
51,4,5,0.5,0.2,0.07,True
53,18,19,0.5,0.19999999999999998,0.04,True
54,6,7,0.5,0.18,0.06,True
55,16,15,0.0,0.2,0.22000000000000003,True
57,0,3,0.0,0.2,0.07,True
57,12,17,0.0,0.2,0.07,True
58,18,19,0.5,0.1,0.04,True
59,10,17,0.0,0.18,0.12,True
60,16,1,0.0,0.2,0.04,True
64,18,19,0.5,0.12000000000000001,0.05,True
64,6,9,0.0,0.2,0.08,True
65,6,9,0.0,0.2,0.03,True
67,0,15,0.0,0.2,0.08,True
68,12,13,0.5,0.2,0.06,True
71,18,19,0.5,0.14,0.05,True
76,18,19,0.5,0.1,0.04,True
77,6,9,0.0,0.2,0.07,True
79,12,17,0.0,0.2,0.08,True
80,4,15,0.0,0.2,0.15999999999999998,True
81,18,19,0.5,0.1,0.05,True
87,2,1,0.0,0.19999999999999996,0.18,True
89,18,19,0.5,0.16,0.05,True
90,4,1,0.0,0.19999999999999996,0.06,True
90,12,13,0.5,0.19999999999999996,0.07,True
93,6,3,0.0,0.19999999999999996,0.13,True
95,10,3,0.0,0.19999999999999996,0.19,True
96,18,19,0.5,0.14,0.06,True
97,6,15,0.0,0.20000000000000007,0.06,True
106,25,34,0.5,0.14,0.06,True
106,27,34,0.0,0.0,0.06,True
106,21,30,0.5,0.14,0.06,True
106,22,31,0.5,0.14,0.06,True
107,23,32,0.5,0.16,0.06,True
