tick,mother_id,mother_energy,winner_domain,chosen_child_id,chosen_r,chosen_distress,chosen_distance,candidate_child_ids,candidate_r,candidate_distress,candidate_distance
4,6,0.9538,care,41,0.0,0.3325,3,7;21;41,0.5000;0.0000;0.0000,0.2540;0.1450;0.3325,4;4;3
4,20,0.9538,care,41,0.0,0.3325,6,7;21;41,0.0000;0.5000;0.0000,0.2540;0.1450;0.3325,1;2;6
4,40,0.9788,care,41,0.5,0.3325,5,7;21;41,0.0000;0.0000;0.5000,0.2540;0.1450;0.3325,2;4;5
5,2,0.97332,care,9,0.0,0.274,7,1;3;9;15;23;27;33;35;43;47;49,0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.3325;0.1490;0.2740;0.0865;0.2740;0.1490;0.2740;0.1490;0.1490;0.2115;0.2115,3;2;7;3;7;5;3;8;2;4;5
5,20,0.9483199999999999,care,41,0.0,0.274,5,7;21;41,0.0000;0.5000;0.0000,0.3205;0.2115;0.2740,2;3;5
5,0,0.9483199999999999,care,1,0.5,0.3325,5,1;3;9;15;23;27;33;35;43;47;49,0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.3325;0.1490;0.2740;0.0865;0.2740;0.1490;0.2740;0.1490;0.1490;0.2115;0.2115,5;2;5;3;5;3;3;6;2;2;5
5,14,0.97332,care,43,0.0,0.149,2,1;3;9;15;23;27;33;35;43;47;49,0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.3325;0.1490;0.2740;0.0865;0.2740;0.1490;0.2740;0.1490;0.1490;0.2115;0.2115,3;5;7;1;7;5;2;8;2;5;8
5,26,0.97332,care,9,0.0,0.274,6,1;3;9;15;23;27;33;35;43;47;49,0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000,0.3325;0.1490;0.2740;0.0865;0.2740;0.1490;0.2740;0.1490;0.1490;0.2115;0.2115,6;1;6;5;4;2;5;5;4;1;3
5,22,0.97332,care,1,0.0,0.3325,6,1;3;9;15;23;27;33;35;43;47;49,0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.3325;0.1490;0.2740;0.0865;0.2740;0.1490;0.2740;0.1490;0.1490;0.2115;0.2115,6;1;5;4;4;2;4;5;3;1;4
5,32,0.97332,care,1,0.0,0.3325,1,1;3;15;27;33;43;47;49,0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000,0.3325;0.1490;0.0865;0.1490;0.2740;0.1490;0.2115;0.2115,1;4;3;7;4;4;6;6
