tick,agent_id,agent_type,lineage_id,generation,cause
99,304,child,0,1,hunger
99,306,child,1,1,hunger
99,308,child,2,1,hunger
99,310,child,3,1,hunger
99,312,child,4,1,hunger
99,314,child,5,1,hunger
99,316,child,6,1,hunger
99,318,child,7,1,hunger
99,320,child,8,1,hunger
99,322,child,9,1,hunger
99,324,child,10,1,hunger
99,326,child,11,1,hunger
99,328,child,12,1,hunger
99,330,child,13,1,hunger
99,332,child,14,1,hunger
99,334,child,15,1,hunger
99,336,child,16,1,hunger
99,338,child,17,1,hunger
99,340,child,18,1,hunger
99,342,child,19,1,hunger
99,344,child,20,1,hunger
99,346,child,21,1,hunger
99,348,child,22,1,hunger
99,350,child,23,1,hunger
99,352,child,24,1,hunger
99,354,child,25,1,hunger
99,356,child,26,1,hunger
115,325,mother,11,0,starvation
194,355,mother,26,0,starvation
202,335,mother,16,0,starvation
292,370,mother,13,1,starvation
293,360,mother,3,1,starvation
320,359,mother,2,1,starvation
385,363,mother,6,1,starvation
512,379,mother,22,1,starvation
518,372,mother,15,1,starvation
530,313,mother,5,0,starvation
579,378,mother,21,1,starvation
592,369,mother,12,1,starvation
631,351,mother,24,0,starvation
631,374,mother,17,1,starvation
656,327,mother,12,0,starvation
673,331,mother,14,0,starvation
676,353,mother,25,0,starvation
725,366,mother,9,1,starvation
728,357,mother,0,1,starvation
790,305,mother,1,0,starvation
805,311,mother,4,0,starvation
822,358,mother,1,1,starvation
859,373,mother,16,1,starvation
870,309,mother,3,0,starvation
876,383,mother,26,1,starvation
886,368,mother,11,1,starvation
908,380,mother,23,1,starvation
932,329,mother,13,0,starvation
963,364,mother,7,1,starvation
966,333,mother,15,0,starvation
984,343,mother,20,0,starvation
992,337,mother,17,0,starvation
