tick,mother_id,child_id,r,benefit,cost,success
0,90,91,0.5,0.008,0.03,True
0,108,109,0.5,0.008,0.03,True
0,102,103,0.5,0.008,0.03,True
0,96,97,0.5,0.008,0.03,True
0,94,95,0.5,0.008,0.03,True
0,106,103,0.0,0.0,0.03,True
2,142,97,0.0,0.016,0.04,True
3,114,95,0.0,0.024,0.034999999999999996,True
3,110,97,0.0,0.008,0.045,True
3,134,95,0.0,0.0,0.045,True
3,96,111,0.0,0.032,0.04,True
3,120,109,0.0,0.024,0.045,True
4,108,121,0.0,0.04,0.045,True
5,108,121,0.0,0.008,0.03,True
5,120,147,0.0,0.048,0.034999999999999996,True
6,122,99,0.0,0.056,0.045,True
6,144,107,0.0,0.056,0.04,True
7,138,139,0.5,0.064,0.065,True
8,90,93,0.0,0.07200000000000001,0.05,True
8,142,97,0.0,0.04,0.055,True
8,92,93,0.5,0.0,0.07,True
9,94,107,0.0,0.024,0.07,True
9,106,107,0.5,0.0,0.07,True
10,138,137,0.0,0.08800000000000002,0.04,True
10,110,97,0.0,0.016,0.06,True
10,134,95,0.0,0.056,0.06,True
11,114,95,0.0,0.008,0.065,True
11,136,137,0.5,0.008,0.07999999999999999,True
11,134,95,0.0,0.0,0.03,True
12,100,95,0.0,0.008,0.09,True
12,92,91,0.0,0.09600000000000003,0.045,True
12,112,125,0.0,0.10400000000000004,0.075,True
12,90,91,0.5,0.0,0.045,True
12,104,141,0.0,0.10400000000000004,0.075,True
12,114,95,0.0,0.0,0.03,True
12,134,95,0.0,0.0,0.03,True
13,114,95,0.0,0.008,0.03,True
13,112,125,0.0,0.008,0.03,True
13,134,95,0.0,0.0,0.03,True
13,100,95,0.0,0.0,0.03,True
13,118,95,0.0,0.0,0.09499999999999999,True
14,100,95,0.0,0.008,0.03,True
14,118,95,0.0,0.0,0.03,True
14,96,143,0.0,0.12000000000000005,0.07999999999999999,True
14,108,121,0.0,0.07200000000000001,0.06,True
14,112,125,0.0,0.008,0.03,True
14,134,95,0.0,0.0,0.03,True
14,114,95,0.0,0.0,0.03,True
15,134,95,0.0,0.008,0.03,True
15,112,125,0.0,0.008,0.03,True
15,114,95,0.0,0.0,0.03,True
15,100,95,0.0,0.0,0.03,True
15,118,95,0.0,0.0,0.03,True
16,98,105,0.0,0.13600000000000007,0.09499999999999999,True
16,114,95,0.0,0.008,0.03,True
17,114,95,0.0,0.008,0.03,True
17,122,125,0.0,0.016,0.07,True
18,114,95,0.0,0.008,0.03,True
18,102,119,0.0,0.15200000000000008,0.115,True
18,122,125,0.0,0.008,0.03,True
19,140,105,0.0,0.024,0.11,True
19,122,125,0.0,0.008,0.03,True
19,112,125,0.0,0.0,0.03,True
20,122,125,0.0,0.008,0.03,True
20,112,125,0.0,0.0,0.03,True
20,128,107,0.0,0.08800000000000002,0.12000000000000001,True
21,112,125,0.0,0.008,0.03,True
21,110,143,0.0,0.056,0.034999999999999996,True
21,108,121,0.0,0.056,0.06,True
21,122,125,0.0,0.0,0.03,True
22,122,125,0.0,0.008,0.03,True
22,114,135,0.0,0.1840000000000001,0.045,True
22,112,125,0.0,0.0,0.03,True
23,112,125,0.0,0.008,0.03,True
23,122,125,0.0,0.0,0.03,True
