tick,mother_id,mother_energy,winner_domain,chosen_child_id,chosen_r,chosen_distress,chosen_distance
5,0,0.9233199999999999,care,9,0.0,0.3365,6
5,8,0.97332,care,9,0.5,0.3365,5
5,22,0.97332,care,9,0.0,0.3365,3
5,2,0.97332,care,9,0.0,0.3365,7
6,0,0.9177599999999999,care,9,0.0,0.278,5
6,8,0.96776,care,9,0.5,0.278,4
6,2,0.96776,care,9,0.0,0.278,6
6,14,0.8927599999999999,care,1,0.0,0.3165,1
7,22,0.96212,care,23,0.5,0.34450000000000003,5
7,14,0.8621199999999999,care,1,0.0,0.3165,1
7,4,0.93712,care,11,0.0,0.0945,1
7,2,0.96212,care,23,0.0,0.34450000000000003,5
7,8,0.96212,care,9,0.5,0.2195,3
7,0,0.9121199999999999,care,9,0.0,0.2195,5
7,10,0.96212,care,11,0.5,0.0945,1
8,4,0.9063999999999999,care,5,0.5,0.34450000000000003,5
8,10,0.9313999999999999,care,5,0.0,0.34450000000000003,5
8,0,0.9063999999999999,care,9,0.0,0.161,4
8,14,0.8313999999999998,care,1,0.0,0.379,1
8,8,0.9563999999999999,care,9,0.5,0.161,2
8,2,0.9563999999999999,care,23,0.0,0.28600000000000003,4
9,2,0.9505999999999999,care,23,0.0,0.2275,3
9,0,0.9005999999999998,care,9,0.0,0.10250000000000001,3
9,14,0.8005999999999998,care,1,0.0,0.4415,1
10,0,0.8947199999999998,care,1,0.5,0.504,8
10,2,0.9447199999999999,care,23,0.0,0.169,2
10,14,0.7697199999999997,care,1,0.0,0.504,1
11,14,0.7387599999999998,care,1,0.0,0.4415,1
11,22,0.9387599999999999,care,15,0.0,0.23550000000000001,4
11,0,0.8887599999999999,care,1,0.5,0.4415,7
12,2,0.9327199999999999,care,3,0.5,0.2195,3
12,14,0.7077199999999997,care,1,0.0,0.379,1
12,22,0.9327199999999999,care,15,0.0,0.23950000000000002,3
12,0,0.8827199999999998,care,1,0.5,0.379,6
13,22,0.9265999999999999,care,1,0.0,0.3165,6
13,2,0.9265999999999999,care,3,0.5,0.161,2
13,8,0.9465999999999999,self,,,,
13,14,0.6765999999999996,care,1,0.0,0.3165,1
13,0,0.8765999999999998,care,1,0.5,0.3165,5
14,8,0.9453999999999999,self,,,,
14,0,0.8703999999999998,care,1,0.5,0.254,4
14,22,0.9203999999999999,care,1,0.0,0.254,5
14,2,0.9203999999999999,care,23,0.0,0.37250000000000005,4
15,0,0.8641199999999999,care,1,0.5,0.1915,3
15,8,0.94412,self,,,,
15,22,0.9141199999999999,care,1,0.0,0.1915,4
15,4,0.8641199999999999,care,11,0.0,0.157,2
15,10,0.8891199999999999,care,5,0.0,0.31000000000000005,4
15,2,0.9141199999999999,care,23,0.0,0.43900000000000006,3
16,4,0.8577599999999999,care,5,0.5,0.37650000000000006,5
16,22,0.9077599999999999,care,1,0.0,0.133,3
16,0,0.8577599999999999,care,23,0.0,0.5055000000000001,8
16,2,0.9077599999999999,care,23,0.0,0.5055000000000001,2
16,10,0.8827599999999999,care,5,0.0,0.37650000000000006,3
16,14,0.6077599999999996,care,15,0.5,0.19300000000000003,2
16,8,0.9427599999999999,self,,,,
17,0,0.8513199999999999,care,23,0.0,0.5720000000000001,7
17,4,0.8513199999999999,care,5,0.5,0.31800000000000006,4
17,14,0.6013199999999996,care,15,0.5,0.13450000000000004,1
17,8,0.9413199999999999,self,,,,
17,22,0.9013199999999999,care,1,0.0,0.1995,2
17,2,0.9013199999999999,care,23,0.0,0.5720000000000001,1
17,10,0.8763199999999999,care,5,0.0,0.31800000000000006,2
18,10,0.8697999999999999,care,5,0.0,0.25950000000000006,1
18,14,0.5697999999999996,care,23,0.0,0.504,7
18,0,0.8447999999999999,care,23,0.0,0.504,6
18,22,0.8947999999999999,care,3,0.0,0.30600000000000005,4
18,4,0.8447999999999999,care,5,0.5,0.25950000000000006,3
18,2,0.8697999999999999,care,23,0.0,0.504,1
18,8,0.9398,self,,,,
19,2,0.8381999999999998,forage,,,,
19,22,0.8881999999999999,care,3,0.0,0.31000000000000005,3
19,10,0.8381999999999998,care,11,0.5,0.36050000000000004,5
19,0,0.8381999999999998,care,23,0.0,0.504,5
19,4,0.8381999999999998,care,5,0.5,0.129,2
19,14,0.5631999999999996,care,23,0.0,0.504,7
19,8,0.9381999999999999,self,,,,
20,2,0.8315199999999998,forage,,,,
20,10,0.8315199999999998,care,11,0.5,0.30200000000000005,4
20,0,0.8315199999999998,care,23,0.0,0.4455,4
20,22,0.8815199999999999,care,3,0.0,0.25150000000000006,2
20,14,0.5565199999999996,care,23,0.0,0.4455,6
20,4,0.8315199999999998,care,5,0.5,0.07050000000000001,1
20,8,0.9365199999999999,self,,,,
21,8,0.9347599999999999,self,,,,
21,14,0.5497599999999996,care,1,0.0,0.4655,5
21,2,0.8247599999999998,forage,,,,
