tick,agent_id,agent_type,lineage_id,generation,cause
99,5467,child,0,1,hunger
99,5469,child,1,1,hunger
99,5471,child,2,1,hunger
99,5473,child,3,1,hunger
99,5475,child,4,1,hunger
99,5477,child,5,1,hunger
99,5479,child,6,1,hunger
99,5481,child,7,1,hunger
99,5483,child,8,1,hunger
99,5485,child,9,1,hunger
99,5487,child,10,1,hunger
99,5489,child,11,1,hunger
129,5472,mother,3,0,starvation
178,5482,mother,8,0,starvation
199,5502,child,0,2,hunger
199,5503,child,1,2,hunger
199,5504,child,2,2,hunger
199,5505,child,3,2,hunger
199,5506,child,4,2,hunger
199,5507,child,5,2,hunger
199,5508,child,6,2,hunger
199,5509,child,7,2,hunger
199,5510,child,8,2,hunger
199,5511,child,9,2,hunger
199,5512,child,10,2,hunger
199,5513,child,11,2,hunger
227,5514,child,10,1,hunger
286,5516,mother,1,2,starvation
299,5527,child,0,3,hunger
299,5528,child,1,3,hunger
299,5529,child,2,3,hunger
299,5530,child,3,3,hunger
299,5531,child,4,3,hunger
299,5532,child,5,3,hunger
299,5533,child,6,3,hunger
299,5534,child,7,3,hunger
299,5535,child,8,3,hunger
299,5536,child,9,3,hunger
299,5537,child,10,3,hunger
299,5538,child,11,3,hunger
302,5495,mother,5,1,starvation
327,5540,child,10,2,hunger
344,5524,mother,9,2,starvation
365,5486,mother,10,0,starvation
376,5520,mother,5,2,starvation
381,5498,mother,8,1,starvation
389,5521,mother,6,2,starvation
393,5496,mother,6,1,starvation
394,5468,mother,1,0,starvation
394,5522,mother,7,2,starvation
399,5553,child,0,4,hunger
399,5554,child,1,4,hunger
399,5555,child,2,4,hunger
399,5556,child,3,4,hunger
399,5557,child,4,4,hunger
399,5558,child,5,4,hunger
399,5559,child,6,4,hunger
399,5560,child,7,4,hunger
399,5561,child,8,4,hunger
399,5562,child,9,4,hunger
399,5563,child,10,4,hunger
399,5564,child,11,4,hunger
402,5565,child,4,3,hunger
411,5525,mother,10,2,starvation
413,5478,mother,6,0,starvation
413,5490,mother,0,1,starvation
415,5566,child,0,1,hunger
416,5526,mother,11,2,starvation
419,5552,mother,11,3,starvation
421,5541,mother,0,3,starvation
423,5546,mother,5,3,starvation
424,5493,mother,3,1,starvation
425,5547,mother,6,3,starvation
427,5568,child,10,3,hunger
436,5491,mother,1,1,starvation
455,5484,mother,9,0,starvation
455,5501,mother,11,1,starvation
458,5470,mother,2,0,starvation
473,5551,mother,10,3,starvation
474,5499,mother,9,1,starvation
475,5476,mother,5,0,starvation
478,5523,mother,8,2,starvation
479,5545,mother,4,3,starvation
484,5518,mother,3,2,starvation
485,5543,mother,2,3,starvation
486,5488,mother,11,0,starvation
486,5515,mother,0,2,starvation
488,5466,mother,0,0,starvation
491,5517,mother,2,2,starvation
493,5492,mother,2,1,starvation
494,5550,mother,9,3,starvation
499,5497,mother,7,1,starvation
499,5581,child,0,5,hunger
499,5582,child,1,5,hunger
499,5583,child,2,5,hunger
499,5584,child,3,5,hunger
499,5585,child,4,5,hunger
499,5586,child,5,5,hunger
499,5587,child,6,5,hunger
499,5588,child,7,5,hunger
499,5589,child,8,5,hunger
499,5590,child,9,5,hunger
499,5591,child,10,5,hunger
499,5592,child,11,5,hunger
500,5539,mother,10,1,starvation
502,5548,mother,7,3,starvation
502,5594,child,4,4,hunger
504,5572,mother,3,4,starvation
508,5500,mother,10,1,starvation
511,5474,mother,4,0,starvation
513,5542,mother,1,3,starvation
514,5549,mother,8,3,starvation
515,5596,child,0,2,hunger
517,5578,mother,9,4,starvation
522,5571,mother,2,4,starvation
522,5577,mother,8,4,starvation
523,5593,mother,4,3,starvation
523,5595,mother,0,1,starvation
524,5569,mother,0,4,starvation
527,5598,child,10,4,hunger
528,5567,mother,10,2,starvation
