tick,mother_id,child_id,r,benefit,cost,success,mother_lineage_id,child_lineage_id,is_own_child
0,12678,12679,0.5,0.008,0.03,True,8,8,True
0,12664,12663,0.0,0.008,0.03,True,1,0,False
0,12666,12667,0.5,0.008,0.03,True,2,2,True
0,12662,12663,0.5,0.0,0.03,True,0,0,True
0,12680,12679,0.0,0.0,0.03,True,9,8,False
0,12676,12677,0.5,0.008,0.03,True,7,7,True
0,12668,12669,0.5,0.008,0.03,True,3,3,True
0,12670,12671,0.5,0.008,0.03,True,4,4,True
1,12680,12681,0.5,0.016,0.03,True,9,9,True
1,12662,12665,0.0,0.016,0.03,True,0,1,False
1,12668,12669,0.5,0.008,0.03,True,3,3,True
1,12664,12665,0.5,0.0,0.03,True,1,1,True
2,12664,12663,0.0,0.016,0.03,True,1,0,False
2,12662,12663,0.5,0.0,0.03,True,0,0,True
2,12668,12669,0.5,0.008,0.03,True,3,3,True
2,12680,12679,0.0,0.016,0.03,True,9,8,False
3,12678,12681,0.0,0.016,0.04,True,8,9,False
3,12684,12671,0.0,0.024,0.045,True,11,4,False
4,12664,12663,0.0,0.016,0.03,True,1,0,False
4,12678,12681,0.0,0.008,0.03,True,8,9,False
5,12662,12663,0.5,0.008,0.034999999999999996,True,0,0,True
5,12676,12683,0.0,0.048,0.05,True,7,10,False
5,12680,12681,0.5,0.008,0.034999999999999996,True,9,9,True
6,12668,12669,0.5,0.032,0.03,True,3,3,True
6,12662,12665,0.0,0.04,0.03,True,0,1,False
7,12674,12685,0.0,0.064,0.065,True,6,11,False
7,12668,12669,0.5,0.008,0.03,True,3,3,True
7,12680,12679,0.0,0.04,0.034999999999999996,True,9,8,False
7,12664,12665,0.5,0.008,0.034999999999999996,True,1,1,True
7,12678,12679,0.5,0.0,0.034999999999999996,True,8,8,True
8,12668,12669,0.5,0.008,0.03,True,3,3,True
11,12664,12663,0.0,0.048,0.034999999999999996,True,1,0,False
11,12678,12681,0.0,0.048,0.03,True,8,9,False
11,12670,12675,0.0,0.09600000000000003,0.07999999999999999,True,4,6,False
12,12680,12681,0.5,0.008,0.034999999999999996,True,9,9,True
13,12678,12679,0.5,0.048,0.034999999999999996,True,8,8,True
14,12680,12679,0.0,0.008,0.034999999999999996,True,9,8,False
14,12678,12681,0.0,0.016,0.03,True,8,9,False
