tick,mother_id,mother_energy,winner_domain,chosen_child_id,chosen_r,chosen_distress,chosen_distance,candidate_child_ids,candidate_r,candidate_distress,candidate_distance
4,1325,0.9538,care,1360,0.0,0.3325,3,1326;1340;1360,0.5000;0.0000;0.0000,0.2540;0.1450;0.3325,4;4;3
4,1339,0.9538,care,1360,0.0,0.3325,6,1326;1340;1360,0.0000;0.5000;0.0000,0.2540;0.1450;0.3325,1;2;6
4,1359,0.9788,care,1360,0.5,0.3325,5,1326;1340;1360,0.0000;0.0000;0.5000,0.2540;0.1450;0.3325,2;4;5
5,1321,0.97332,care,1328,0.0,0.274,7,1320;1322;1328;1334;1342;1346;1352;1354;1362;1366;1368,0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.3325;0.1490;0.2740;0.0865;0.2740;0.1490;0.2740;0.1490;0.1490;0.2115;0.2115,3;2;7;3;7;5;3;8;2;4;5
5,1345,0.97332,care,1328,0.0,0.274,6,1320;1322;1328;1334;1342;1346;1352;1354;1362;1366;1368,0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000,0.3325;0.1490;0.2740;0.0865;0.2740;0.1490;0.2740;0.1490;0.1490;0.2115;0.2115,6;1;6;5;4;2;5;5;4;1;3
5,1339,0.9483199999999999,care,1360,0.0,0.274,5,1326;1340;1360,0.0000;0.5000;0.0000,0.3205;0.2115;0.2740,2;3;5
5,1319,0.9483199999999999,care,1320,0.5,0.3325,5,1320;1322;1328;1334;1342;1346;1352;1354;1362;1366;1368,0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.3325;0.1490;0.2740;0.0865;0.2740;0.1490;0.2740;0.1490;0.1490;0.2115;0.2115,5;2;5;3;5;3;3;6;2;2;5
5,1333,0.97332,care,1362,0.0,0.149,2,1320;1322;1328;1334;1342;1346;1352;1354;1362;1366;1368,0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.3325;0.1490;0.2740;0.0865;0.2740;0.1490;0.2740;0.1490;0.1490;0.2115;0.2115,3;5;7;1;7;5;2;8;2;5;8
5,1341,0.97332,care,1320,0.0,0.3325,6,1320;1322;1328;1334;1342;1346;1352;1354;1362;1366;1368,0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.3325;0.1490;0.2740;0.0865;0.2740;0.1490;0.2740;0.1490;0.1490;0.2115;0.2115,6;1;5;4;4;2;4;5;3;1;4
5,1367,0.97332,care,1320,0.0,0.3325,4,1320;1322;1328;1334;1342;1346;1352;1362;1366;1368,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000,0.3325;0.1490;0.2740;0.0865;0.2740;0.1490;0.2740;0.1490;0.2115;0.2115,4;3;8;5;8;6;5;4;5;3
5,1365,0.97332,care,1328,0.0,0.274,6,1320;1322;1328;1334;1342;1346;1352;1354;1362;1366;1368,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000,0.3325;0.1490;0.2740;0.0865;0.2740;0.1490;0.2740;0.1490;0.1490;0.2115;0.2115,4;1;6;5;6;4;5;7;4;3;3
5,1351,0.97332,care,1320,0.0,0.3325,1,1320;1322;1334;1346;1352;1362;1366;1368,0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000,0.3325;0.1490;0.0865;0.1490;0.2740;0.1490;0.2115;0.2115,1;4;3;7;4;4;6;6
5,1359,0.97332,care,1360,0.5,0.274,4,1326;1340;1354;1360,0.0000;0.0000;0.0000;0.5000,0.3205;0.2115;0.1490;0.2740,3;5;8;4
5,1327,0.97332,care,1320,0.0,0.3325,6,1320;1322;1328;1334;1342;1346;1352;1354;1362;1366;1368,0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.3325;0.1490;0.2740;0.0865;0.2740;0.1490;0.2740;0.1490;0.1490;0.2115;0.2115,6;2;4;3;4;2;3;5;2;2;5
5,1325,0.9483199999999999,care,1326,0.5,0.3205,5,1326;1340;1354;1360,0.5000;0.0000;0.0000;0.0000,0.3205;0.2115;0.1490;0.2740,5;5;8;2
5,1361,0.97332,care,1362,0.5,0.149,2,1320;1322;1328;1334;1342;1346;1352;1354;1362;1366;1368,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000,0.3325;0.1490;0.2740;0.0865;0.2740;0.1490;0.2740;0.1490;0.1490;0.2115;0.2115,3;4;7;1;7;5;2;8;2;4;7
