tick,mother_id,child_id,mother_lineage_id,mother_generation,mother_care_weight,mother_forage_weight,mother_self_weight
99,7242,7254,0,1,0.452514,0.500000,0.500000
99,7243,7255,1,1,0.500080,0.500000,0.500000
99,7244,7256,2,1,0.500080,0.500000,0.500000
99,7245,7257,3,1,0.500240,0.500000,0.500000
99,7246,7258,4,1,0.500000,0.500000,0.500000
99,7247,7259,5,1,0.500960,0.500000,0.500000
99,7248,7260,6,1,0.500000,0.742747,0.500000
99,7249,7261,7,1,0.507520,0.500000,0.500000
99,7250,7262,8,1,0.500000,0.500000,0.500000
99,7251,7263,9,1,0.721003,0.500000,0.500000
99,7252,7264,10,1,0.546919,0.500000,0.500000
99,7253,7265,11,1,0.501520,0.500000,0.500000
107,7232,7266,7,0,0.507520,0.500000,0.500000
199,7267,7279,0,2,0.453634,0.500000,0.500000
199,7268,7280,1,2,0.500080,0.500000,0.500000
199,7269,7281,2,2,0.500080,0.473287,0.500000
199,7270,7282,3,2,0.371686,0.500000,0.500000
199,7271,7283,4,2,0.500000,0.500000,0.500000
199,7272,7284,5,2,0.502160,0.500000,0.500000
199,7273,7285,6,2,0.487058,0.742747,0.500000
199,7274,7286,7,2,0.509280,0.500000,0.621595
199,7275,7287,8,2,0.500000,0.500000,0.500000
199,7276,7288,9,2,0.721003,0.500000,0.500000
199,7277,7289,10,2,0.546919,0.486059,0.500000
199,7278,7290,11,2,0.501520,0.500000,0.500000
207,7291,7292,7,1,0.507920,0.500000,0.500000
241,7232,7293,7,0,0.507920,0.500000,0.500000
299,7294,7306,0,3,0.459874,0.526468,0.500000
299,7295,7307,1,3,0.500080,0.500000,0.500000
299,7296,7308,2,3,0.511228,0.473287,0.500000
299,7297,7309,3,3,0.371686,0.371523,0.500000
299,7298,7310,4,3,0.500000,0.500000,0.500000
299,7299,7311,5,3,0.503680,0.500000,0.500000
299,7300,7312,6,3,0.487058,0.742747,0.348475
299,7301,7313,7,3,0.509280,0.635241,0.511740
299,7302,7314,8,3,0.500000,0.500000,0.557870
299,7303,7315,9,3,0.721003,0.500000,0.500000
299,7304,7316,10,3,0.546919,0.486059,0.500000
299,7305,7317,11,3,0.501520,0.489474,0.500000
307,7318,7319,7,2,0.507920,0.500000,0.500000
341,7320,7321,7,1,0.509920,0.500000,0.500000
399,7322,7334,0,4,0.459874,0.526468,0.500000
399,7323,7335,1,4,0.701748,0.500000,0.500000
399,7324,7336,2,4,0.511228,0.473287,0.500000
399,7325,7337,3,4,0.371686,0.371523,0.500000
399,7326,7338,4,4,0.500000,0.500000,0.683898
399,7327,7339,5,4,0.503680,0.500000,0.500000
