tick,mother_id,child_id,r,benefit,cost,success,mother_lineage_id,child_lineage_id,is_own_child
0,14163,14164,0.5,0.008,0.03,True,2,2,True
0,14175,14172,0.0,0.008,0.03,True,8,6,False
0,14159,14160,0.5,0.008,0.03,True,0,0,True
0,14165,14166,0.5,0.008,0.03,True,3,3,True
0,14177,14178,0.5,0.008,0.03,True,9,9,True
0,14171,14172,0.5,0.0,0.03,True,6,6,True
1,14163,14184,0.0,0.016,0.03,True,2,12,False
1,14175,14176,0.5,0.016,0.03,True,8,8,True
1,14183,14164,0.0,0.008,0.034999999999999996,True,12,2,False
3,14201,14160,0.0,0.024,0.045,True,21,0,False
3,14189,14178,0.0,0.024,0.045,True,15,9,False
3,14171,14176,0.0,0.016,0.04,True,6,8,False
4,14177,14190,0.0,0.04,0.045,True,9,15,False
4,14181,14186,0.0,0.04,0.05,True,11,13,False
4,14191,14202,0.0,0.04,0.05,True,16,21,False
5,14167,14202,0.0,0.008,0.055,True,4,21,False
6,14197,14188,0.0,0.056,0.06,True,19,14,False
6,14173,14202,0.0,0.008,0.06,True,7,21,False
7,14197,14188,0.0,0.008,0.03,True,19,14,False
7,14175,14188,0.0,0.0,0.055,True,8,14,False
7,14203,14170,0.0,0.064,0.065,True,22,5,False
7,14205,14186,0.0,0.024,0.065,True,23,13,False
8,14191,14160,0.0,0.04,0.045,True,16,0,False
8,14183,14170,0.0,0.008,0.06,True,12,5,False
8,14159,14186,0.0,0.008,0.065,True,0,13,False
9,14179,14166,0.0,0.07200000000000001,0.075,True,10,3,False
9,14191,14160,0.0,0.008,0.03,True,16,0,False
9,14185,14160,0.0,0.0,0.07,True,13,0,False
10,14173,14160,0.0,0.008,0.045,True,7,0,False
10,14191,14160,0.0,0.0,0.03,True,16,0,False
11,14159,14194,0.0,0.09600000000000003,0.04,True,0,17,False
11,14173,14160,0.0,0.008,0.03,True,7,0,False
11,14191,14160,0.0,0.0,0.03,True,16,0,False
12,14181,14160,0.0,0.008,0.065,True,11,0,False
12,14191,14160,0.0,0.0,0.03,True,16,0,False
12,14173,14160,0.0,0.0,0.03,True,7,0,False
12,14159,14182,0.0,0.10400000000000004,0.03,True,0,11,False
13,14181,14160,0.0,0.008,0.03,True,11,0,False
13,14159,14182,0.0,0.008,0.03,True,0,11,False
13,14161,14160,0.0,0.0,0.07999999999999999,True,1,0,False
13,14169,14164,0.0,0.09600000000000003,0.09499999999999999,True,5,2,False
13,14177,14198,0.0,0.11200000000000004,0.07,True,9,19,False
13,14203,14164,0.0,0.0,0.055,True,22,2,False
13,14173,14160,0.0,0.0,0.03,True,7,0,False
13,14191,14160,0.0,0.0,0.03,True,16,0,False
14,14169,14164,0.0,0.008,0.03,True,5,2,False
14,14191,14160,0.0,0.008,0.03,True,16,0,False
14,14179,14166,0.0,0.04,0.05,True,10,3,False
14,14173,14160,0.0,0.0,0.03,True,7,0,False
14,14203,14164,0.0,0.0,0.03,True,22,2,False
14,14177,14198,0.0,0.008,0.03,True,9,19,False
14,14181,14160,0.0,0.0,0.03,True,11,0,False
14,14183,14164,0.0,0.0,0.055,True,12,2,False
14,14159,14182,0.0,0.008,0.03,True,0,11,False
15,14203,14164,0.0,0.008,0.03,True,22,2,False
15,14179,14166,0.0,0.008,0.03,True,10,3,False
15,14181,14160,0.0,0.008,0.03,True,11,0,False
15,14177,14198,0.0,0.008,0.03,True,9,19,False
15,14183,14164,0.0,0.0,0.03,True,12,2,False
15,14191,14160,0.0,0.0,0.03,True,16,0,False
15,14169,14164,0.0,0.0,0.03,True,5,2,False
15,14159,14182,0.0,0.008,0.03,True,0,11,False
16,14191,14160,0.0,0.008,0.03,True,16,0,False
16,14199,14182,0.0,0.008,0.11,True,20,11,False
16,14179,14166,0.0,0.008,0.03,True,10,3,False
16,14177,14198,0.0,0.008,0.03,True,9,19,False
16,14169,14164,0.0,0.008,0.03,True,5,2,False
16,14183,14164,0.0,0.0,0.03,True,12,2,False
16,14203,14164,0.0,0.0,0.03,True,22,2,False
16,14181,14160,0.0,0.0,0.03,True,11,0,False
