tick,agent_id,agent_type,lineage_id,generation,cause
98,14582,mother,15,0,starvation
99,14553,child,0,1,hunger
99,14555,child,1,1,hunger
99,14557,child,2,1,hunger
99,14559,child,3,1,hunger
99,14561,child,4,1,hunger
99,14563,child,5,1,hunger
99,14565,child,6,1,hunger
99,14567,child,7,1,hunger
99,14569,child,8,1,hunger
99,14571,child,9,1,hunger
99,14573,child,10,1,hunger
99,14575,child,11,1,hunger
99,14577,child,12,1,hunger
99,14579,child,13,1,hunger
99,14581,child,14,1,hunger
99,14583,child,15,1,hunger
99,14585,child,16,1,hunger
99,14587,child,17,1,hunger
99,14589,child,18,1,hunger
99,14591,child,19,1,hunger
99,14593,child,20,1,hunger
99,14595,child,21,1,hunger
99,14597,child,22,1,hunger
99,14599,child,23,1,hunger
99,14601,child,24,1,hunger
99,14603,child,25,1,hunger
99,14605,child,26,1,hunger
113,14564,mother,6,0,starvation
118,14594,mother,21,0,starvation
186,14584,mother,16,0,starvation
225,14554,mother,1,0,starvation
244,14602,mother,25,0,starvation
257,14558,mother,3,0,starvation
261,14612,mother,6,1,starvation
261,14627,mother,21,1,starvation
262,14623,mother,17,1,starvation
264,14624,mother,18,1,starvation
265,14615,mother,9,1,starvation
266,14620,mother,14,1,starvation
269,14598,mother,23,0,starvation
269,14622,mother,16,1,starvation
277,14570,mother,9,0,starvation
278,14556,mother,2,0,starvation
281,14609,mother,3,1,starvation
286,14574,mother,11,0,starvation
290,14629,mother,23,1,starvation
291,14606,mother,0,1,starvation
294,14600,mother,24,0,starvation
303,14617,mother,11,1,starvation
311,14568,mother,8,0,starvation
314,14607,mother,1,1,starvation
330,14630,mother,24,1,starvation
334,14578,mother,13,0,starvation
344,14618,mother,12,1,starvation
346,14631,mother,25,1,starvation
355,14626,mother,20,1,starvation
361,14576,mother,12,0,starvation
389,14588,mother,18,0,starvation
394,14628,mother,22,1,starvation
427,14590,mother,19,0,starvation
428,14604,mother,26,0,starvation
430,14621,mother,15,1,starvation
441,14608,mother,2,1,starvation
444,14611,mother,5,1,starvation
450,14586,mother,17,0,starvation
454,14632,mother,26,1,starvation
461,14614,mother,8,1,starvation
515,14562,mother,5,0,starvation
518,14619,mother,13,1,starvation
529,14592,mother,20,0,starvation
568,14596,mother,22,0,starvation
571,14625,mother,19,1,starvation
593,14572,mother,10,0,starvation
604,14560,mother,4,0,starvation
615,14613,mother,7,1,starvation
625,14616,mother,10,1,starvation
670,14610,mother,4,1,starvation
676,14566,mother,7,0,starvation
682,14580,mother,14,0,starvation
748,14552,mother,0,0,starvation
