tick,mother_id,child_id,mother_lineage_id,mother_generation,mother_care_weight,mother_forage_weight,mother_self_weight
99,388,406,9,0,0.048358,0.847494,0.603726
99,394,407,0,1,0.500000,0.500000,0.500000
99,395,408,1,1,0.105249,0.736471,0.676699
99,396,409,2,1,0.446090,0.086939,0.421922
99,397,410,3,1,0.014899,0.218638,0.505355
99,398,411,4,1,0.013268,0.198838,0.649884
99,399,412,5,1,0.272471,0.220441,0.589266
99,400,413,6,1,0.404715,0.006499,0.805819
99,401,414,7,1,0.349070,0.340251,0.155479
99,402,415,8,1,0.478607,0.336595,0.092746
99,403,416,9,1,0.000000,0.847494,0.603726
99,404,417,10,1,0.403564,0.864343,0.536228
99,405,418,11,1,0.500000,0.500000,0.500000
125,390,419,10,0,0.403564,0.729732,0.536228
199,403,433,9,1,0.000000,0.847494,0.603726
199,420,434,9,1,0.048358,0.847494,0.603726
199,421,435,0,2,0.500000,0.500000,0.500000
199,422,436,1,2,0.105249,0.736471,0.676699
199,423,437,2,2,0.500000,0.500000,0.500000
199,424,438,3,2,0.014899,0.218638,0.505355
199,425,439,4,2,0.153046,0.198838,0.649884
199,426,440,5,2,0.272471,0.220441,0.589266
199,427,441,6,2,0.404715,0.006499,0.805819
199,428,442,7,2,0.349070,0.315539,0.155479
199,429,443,8,2,0.500000,0.500000,0.500000
199,430,444,9,2,0.000000,0.847494,0.603726
199,431,445,10,2,0.403564,0.864343,0.536228
199,432,446,11,2,0.500000,0.425964,0.375690
206,388,447,9,0,0.048358,0.847494,0.603726
225,448,449,10,1,0.500000,0.500000,0.500000
299,450,464,9,2,0.500000,0.500000,0.500000
299,451,465,9,2,0.048358,0.847494,0.603726
299,452,466,0,3,0.500000,0.500000,0.500000
299,453,467,1,3,0.105249,0.736471,0.676699
299,454,468,2,3,0.500000,0.500000,0.500000
299,455,469,3,3,0.014899,0.218638,0.505355
299,456,470,4,3,0.153046,0.198838,0.649884
299,457,471,5,3,0.272471,0.220441,0.589266
299,458,472,6,3,0.404715,0.006499,0.805819
299,459,473,7,3,0.349070,0.315539,0.193447
299,460,474,8,3,0.500000,0.500000,0.500000
299,461,475,9,3,0.000000,0.847494,0.603726
299,462,476,10,3,0.403564,0.864343,0.536228
299,463,477,11,3,0.500000,0.500000,0.500000
306,420,479,9,1,0.048358,0.847494,0.603726
306,478,480,9,1,0.048358,0.847494,0.603726
322,404,481,10,1,0.403564,0.864343,0.536228
325,482,483,10,2,0.500000,0.500000,0.500000
399,484,498,9,3,0.500000,0.500000,0.500000
399,485,499,9,3,0.048358,0.847494,0.603726
399,486,500,0,4,0.500000,0.500000,0.542992
399,487,501,1,4,0.105249,0.736471,0.676699
399,488,502,2,4,0.500000,0.500000,0.526606
399,489,503,3,4,0.014899,0.218638,0.505355
399,490,504,4,4,0.153046,0.198838,0.649884
399,491,505,5,4,0.272471,0.220441,0.589266
399,492,506,6,4,0.404715,0.006499,0.805819
399,493,507,7,4,0.349070,0.315539,0.193447
399,494,508,8,4,0.500000,0.500000,0.500000
399,495,509,9,4,0.000000,0.847494,0.603726
399,496,510,10,4,0.403564,0.864343,0.536228
399,497,511,11,4,0.500000,0.500000,0.500000
406,512,514,9,2,0.500000,0.500000,0.500000
406,513,515,9,2,0.048358,0.847494,0.603726
422,516,517,10,2,0.403564,0.864343,0.536228
425,518,519,10,3,0.500000,0.500000,0.471747
499,520,534,9,4,0.500000,0.500000,0.500000
499,521,535,9,4,0.099316,0.847494,0.510807
499,522,536,0,5,0.374929,0.500000,0.542992
499,523,537,1,5,0.105249,0.736471,0.676699
499,524,538,2,5,0.500000,0.500000,0.526606
499,525,539,3,5,0.014899,0.218638,0.505355
499,526,540,4,5,0.153046,0.198838,0.649884
499,527,541,5,5,0.272471,0.220441,0.589266
499,528,542,6,5,0.404715,0.006499,0.776610
499,529,543,7,5,0.349070,0.315539,0.193447
499,530,544,8,5,0.514407,0.500000,0.500000
499,531,545,9,5,0.000000,0.847494,0.603726
499,532,546,10,5,0.403564,0.864343,0.536228
499,533,547,11,5,0.500000,0.500000,0.500000
506,548,550,9,3,0.500000,0.500000,0.500000
506,549,551,9,3,0.048358,0.847494,0.603726
522,552,553,10,3,0.403564,0.864343,0.412340
525,554,555,10,4,0.500000,0.500000,0.471747
599,556,570,9,5,0.500000,0.500000,0.500000
599,557,571,9,5,0.099316,0.847494,0.510807
599,558,572,0,6,0.472127,0.500000,0.542992
599,559,573,1,6,0.105249,0.736471,0.676699
599,560,574,2,6,0.500000,0.500000,0.526606
599,561,575,3,6,0.014899,0.218638,0.680217
599,562,576,4,6,0.153046,0.198838,0.649884
599,563,577,5,6,0.272471,0.220441,0.589266
599,564,578,6,6,0.500000,0.500000,0.500000
599,565,579,7,6,0.349070,0.315539,0.193447
599,566,580,8,6,0.514407,0.500000,0.595044
599,567,581,9,6,0.000000,0.847494,0.603726
599,568,582,10,6,0.403564,0.864343,0.536228
599,569,583,11,6,0.500000,0.500000,0.500000
606,584,586,9,4,0.500000,0.500000,0.500000
606,585,587,9,4,0.048358,0.829268,0.603726
610,549,588,9,3,0.048358,0.847494,0.603726
622,589,590,10,4,0.403564,0.864343,0.412340
625,591,592,10,5,0.500000,0.500000,0.471747
699,593,607,9,6,0.500000,0.500000,0.512666
699,594,608,9,6,0.103080,0.847494,0.510807
699,595,609,0,7,0.500000,0.500000,0.500000
699,596,610,1,7,0.105249,0.736471,0.676699
699,597,611,2,7,0.500000,0.500000,0.500000
699,598,612,3,7,0.014899,0.218638,0.680217
699,599,613,4,7,0.153046,0.198838,0.649884
699,600,614,5,7,0.272471,0.220441,0.589266
699,601,615,6,7,0.500000,0.500000,0.500000
699,602,616,7,7,0.500000,0.500000,0.500000
699,603,617,8,7,0.514407,0.500000,0.595044
699,604,618,9,7,0.000000,0.847494,0.603726
699,605,619,10,7,0.403564,0.864343,0.536228
699,606,620,11,7,0.500000,0.500000,0.500000
706,621,623,9,5,0.500000,0.500000,0.500000
706,622,624,9,5,0.048358,0.829268,0.660478
708,585,625,9,4,0.048358,0.829268,0.603726
710,626,627,9,4,0.048358,0.847494,0.603726
722,628,629,10,5,0.403564,0.864343,0.412340
725,630,631,10,6,0.500000,0.500000,0.471747
