tick,agent_id,agent_type,lineage_id,generation,cause
61,2340,mother,0,0,starvation
98,2362,mother,11,0,starvation
99,2341,child,0,1,hunger
99,2343,child,1,1,hunger
99,2345,child,2,1,hunger
99,2347,child,3,1,hunger
99,2349,child,4,1,hunger
99,2351,child,5,1,hunger
99,2353,child,6,1,hunger
99,2355,child,7,1,hunger
99,2357,child,8,1,hunger
99,2359,child,9,1,hunger
99,2361,child,10,1,hunger
99,2363,child,11,1,hunger
106,2344,mother,2,0,starvation
115,2354,mother,7,0,starvation
123,2352,mother,6,0,starvation
125,2366,mother,2,1,starvation
140,2350,mother,5,0,starvation
151,2360,mother,10,0,starvation
158,2346,mother,3,0,starvation
159,2348,mother,4,0,starvation
175,2356,mother,8,0,starvation
197,2372,mother,8,1,starvation
199,2376,child,9,1,hunger
199,2377,child,0,2,hunger
199,2378,child,1,2,hunger
199,2379,child,2,2,hunger
199,2380,child,3,2,hunger
199,2381,child,4,2,hunger
199,2382,child,5,2,hunger
199,2383,child,6,2,hunger
199,2384,child,7,2,hunger
199,2385,child,8,2,hunger
199,2386,child,9,2,hunger
199,2387,child,10,2,hunger
199,2388,child,11,2,hunger
200,2342,mother,1,0,starvation
200,2370,mother,6,1,starvation
203,2371,mother,7,1,starvation
204,2375,mother,11,1,starvation
224,2369,mother,5,1,starvation
226,2367,mother,3,1,starvation
226,2368,mother,4,1,starvation
259,2364,mother,0,1,starvation
273,2373,mother,9,1,starvation
274,2365,mother,1,1,starvation
288,2395,mother,5,2,starvation
288,2397,mother,7,2,starvation
293,2401,mother,11,2,starvation
296,2358,mother,9,0,starvation
299,2402,child,9,2,hunger
299,2403,child,0,3,hunger
299,2404,child,1,3,hunger
299,2405,child,2,3,hunger
299,2406,child,3,3,hunger
299,2407,child,4,3,hunger
299,2408,child,5,3,hunger
299,2409,child,6,3,hunger
299,2410,child,7,3,hunger
299,2411,child,8,3,hunger
299,2412,child,9,3,hunger
299,2413,child,10,3,hunger
299,2414,child,11,3,hunger
301,2396,mother,6,2,starvation
311,2415,child,9,2,hunger
317,2392,mother,2,2,starvation
319,2390,mother,0,2,starvation
325,2374,mother,10,1,starvation
325,2398,mother,8,2,starvation
