tick,mother_id,child_id,r,benefit,cost,success,mother_lineage_id,child_lineage_id,is_own_child
0,3942,3943,0.5,0.0092,0.03,True,2,2,True
0,4002,3951,0.0,0.0092,0.03,True,32,6,False
0,3956,3957,0.5,0.0092,0.03,True,9,9,True
0,3954,3951,0.0,0.0,0.03,True,8,6,False
0,3938,3939,0.5,0.0092,0.03,True,0,0,True
1,3962,3943,0.0,0.0092,0.034999999999999996,True,12,2,False
1,3942,3963,0.0,0.0184,0.03,True,2,12,False
2,3998,3945,0.0,0.0276,0.04,True,30,3,False
3,3968,3957,0.0,0.0276,0.045,True,15,9,False
3,3958,3945,0.0,0.0092,0.045,True,10,3,False
3,3982,3943,0.0,0.0184,0.045,True,22,2,False
3,3952,3939,0.0,0.0276,0.045,True,7,0,False
3,3980,3939,0.0,0.0,0.045,True,21,0,False
4,3974,3957,0.0,0.0092,0.05,True,18,9,False
4,3956,3969,0.0,0.046,0.045,True,9,15,False
5,3974,3957,0.0,0.0092,0.03,True,18,9,False
6,4004,3969,0.0,0.0184,0.06,True,33,15,False
6,3978,3979,0.5,0.0644,0.06,True,20,20,True
7,3954,3955,0.5,0.0736,0.06,True,8,8,True
7,3968,3969,0.5,0.0092,0.045,True,15,15,True
8,4002,3955,0.0,0.0092,0.065,True,32,8,False
8,3956,3957,0.5,0.0276,0.045,True,9,9,True
8,3942,3949,0.0,0.0828,0.06,True,2,5,False
8,3966,3949,0.0,0.0,0.07,True,14,5,False
9,3948,3949,0.5,0.0092,0.075,True,5,5,True
10,3964,3941,0.0,0.1012,0.07999999999999999,True,13,1,False
10,3974,3975,0.5,0.1012,0.045,True,18,18,True
10,3984,3941,0.0,0.0,0.07999999999999999,True,23,1,False
10,3938,3989,0.0,0.1012,0.075,True,0,25,False
11,3984,3941,0.0,0.0092,0.03,True,23,1,False
11,3938,3989,0.0,0.0092,0.03,True,0,25,False
11,3964,3941,0.0,0.0,0.03,True,13,1,False
11,3960,3941,0.0,0.0,0.06,True,11,1,False
11,3986,3941,0.0,0.0,0.08499999999999999,True,24,1,False
11,3946,3989,0.0,0.0,0.08499999999999999,True,4,25,False
12,3988,3941,0.0,0.0092,0.09,True,25,1,False
12,3992,3967,0.0,0.1196,0.09,True,27,14,False
12,3998,4001,0.0,0.1196,0.075,True,30,31,False
12,3984,3941,0.0,0.0,0.03,True,23,1,False
12,3964,3941,0.0,0.0,0.03,True,13,1,False
12,3946,3989,0.0,0.0092,0.03,True,4,25,False
12,3938,3989,0.0,0.0,0.03,True,0,25,False
12,3976,3967,0.0,0.0,0.09,True,19,14,False
12,3986,3941,0.0,0.0,0.03,True,24,1,False
13,3938,3989,0.0,0.0092,0.03,True,0,25,False
13,3946,3989,0.0,0.0,0.03,True,4,25,False
13,3952,3989,0.0,0.0,0.075,True,7,25,False
13,3986,3941,0.0,0.0092,0.03,True,24,1,False
13,3998,4001,0.0,0.0092,0.03,True,30,31,False
13,3954,3967,0.0,0.0092,0.055,True,8,14,False
13,3984,3941,0.0,0.0,0.03,True,23,1,False
13,3964,3941,0.0,0.0,0.03,True,13,1,False
13,3968,4001,0.0,0.0,0.055,True,15,31,False
14,3964,3941,0.0,0.0092,0.03,True,13,1,False
14,3980,3941,0.0,0.0,0.055,True,21,1,False
14,3984,3941,0.0,0.0,0.03,True,23,1,False
14,3946,3989,0.0,0.0092,0.03,True,4,25,False
14,3952,3989,0.0,0.0,0.03,True,7,25,False
14,3998,4001,0.0,0.0092,0.03,True,30,31,False
14,3986,3941,0.0,0.0,0.03,True,24,1,False
14,3938,3989,0.0,0.0,0.03,True,0,25,False
14,3974,4005,0.0,0.138,0.034999999999999996,True,18,33,False
15,3964,3941,0.0,0.0092,0.03,True,13,1,False
15,3996,4001,0.0,0.0092,0.105,True,29,31,False
15,3946,3989,0.0,0.0092,0.03,True,4,25,False
